Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
cotton-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,2xl,CO00WH5020XXL,400,shopify,,deny,manual,,,true,true,
cotton-floral-embroidered-tunic-with-trouser-co-ords-set,Cotton Floral Embroidered Tunic With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Tunic With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,s,CO00OW5016S,400,shopify,,deny,manual,,,true,true,active
cotton-floral-embroidered-tunic-with-trouser-co-ords-set,Cotton Floral Embroidered Tunic With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Tunic With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,m,CO00OW5016M,400,shopify,,deny,manual,,,true,true,
cotton-floral-embroidered-tunic-with-trouser-co-ords-set,Cotton Floral Embroidered Tunic With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Tunic With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,l,CO00OW5016L,400,shopify,,deny,manual,,,true,true,
cotton-floral-embroidered-tunic-with-trouser-co-ords-set,Cotton Floral Embroidered Tunic With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Tunic With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,xl,CO00OW5016XL,400,shopify,,deny,manual,,,true,true,
cotton-floral-embroidered-tunic-with-trouser-co-ords-set,Cotton Floral Embroidered Tunic With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Tunic With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,2xl,CO00OW5016XXL,400,shopify,,deny,manual,,,true,true,
cotton-embroidered-top-with-trouser-co-ords-set,Cotton Embroidered Top With Trouser Co-Ords Set,<p>Cotton Embroidered Top With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,s,CO00BK5097S,400,shopify,,deny,manual,,,true,true,active
cotton-embroidered-top-with-trouser-co-ords-set,Cotton Embroidered Top With Trouser Co-Ords Set,<p>Cotton Embroidered Top With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,m,CO00BK5097M,400,shopify,,deny,manual,,,true,true,
cotton-embroidered-top-with-trouser-co-ords-set,Cotton Embroidered Top With Trouser Co-Ords Set,<p>Cotton Embroidered Top With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,l,CO00BK5097L,400,shopify,,deny,manual,,,true,true,
cotton-embroidered-top-with-trouser-co-ords-set,Cotton Embroidered Top With Trouser Co-Ords Set,<p>Cotton Embroidered Top With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,xl,CO00BK5097XL,400,shopify,,deny,manual,,,true,true,
cotton-embroidered-top-with-trouser-co-ords-set,Cotton Embroidered Top With Trouser Co-Ords Set,<p>Cotton Embroidered Top With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,2xl,CO00BK5097XXL,400,shopify,,deny,manual,,,true,true,
cotton-embroidered-top-with-trouser-co-ords-set,Cotton Embroidered Top With Trouser Co-Ords Set,<p>Cotton Embroidered Top With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,m,CO00TL5106M,400,shopify,,deny,manual,,,true,true,active
cotton-embroidered-top-with-trouser-co-ords-set,Cotton Embroidered Top With Trouser Co-Ords Set,<p>Cotton Embroidered Top With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,l,CO00TL5106L,400,shopify,,deny,manual,,,true,true,
cotton-embroidered-top-with-trouser-co-ords-set,Cotton Embroidered Top With Trouser Co-Ords Set,<p>Cotton Embroidered Top With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,xl,CO00TL5106XL,400,shopify,,deny,manual,,,true,true,
cotton-embroidered-top-with-trouser-co-ords-set,Cotton Embroidered Top With Trouser Co-Ords Set,<p>Cotton Embroidered Top With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,2xl,CO00TL5106XXL,400,shopify,,deny,manual,,,true,true,
